Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Den Win,2,2,1,1,2,2,1,2,2,1,2,2,2,0,2,0,2,1,4,3,4,2,3,1,1,2,1,4,2,3
Den Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,4,4,4,4,4,3,3,4,3,4,4,3,4
Min Win,1,2,1,1,1,0,1,2,2,1,1,1,2,1,2,2,0,2,4,4,3,3,3,0,1,3,3,4,2,3
Min Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,4,4,3,4,4,3,3,4,3,4,4,4
Okc Win,1,1,2,0,2,2,2,1,0,1,1,2,2,2,2,3,2,0,4,3,3,2,1,3,2,3,2,3,2,3
Okc Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,4,4,4,3,4,3,4,4,4,3,3,4
Por Win,0,2,0,1,2,0,1,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,3,0,1
Por Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,4,4,4,3,4,3,4,4,4,3,3
Uta Win,0,1,1,1,2,0,0,2,1,2,1,1,1,0,2,1,0,1,3,0,0,2,1,0,0,1,1,2,2,2
Uta Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,4,4,3,4,3,4,4,3,4,3
Gol Win,1,2,1,2,1,1,0,2,1,1,1,2,1,2,2,0,0,1,4,4,0,1,3,1,2,1,3,2,1,3
Gol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,0,4,4,4,4,4,3,3,3,4
Lac Win,1,1,1,1,2,2,1,2,1,0,1,2,2,2,2,2,1,1,4,2,3,0,1,3,2,2,2,3,1,3
Lac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,4,4,0,4,4,4,3,3,4,4,3
Lal Win,1,1,1,1,2,1,2,2,2,2,1,2,0,1,2,0,1,3,3,2,1,3,0,3,0,1,2,3,2,2
Lal Played,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,4,4,3,3,4,4,0,5,4,3,4,4,3,3
Pho Win,0,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,3,0,3,4,3,1,2,0,3,1,2,2,2,1
Pho Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,0,5,3,4,3,3,4
Sac Win,0,2,0,1,2,1,1,1,1,1,2,1,0,2,1,3,2,2,2,3,2,2,4,2,0,2,0,3,0,3
Sac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,4,4,4,5,0,4,3,3,5,3
Dal Win,0,2,2,1,1,2,0,1,0,0,2,2,2,2,2,1,1,1,4,3,3,1,2,2,2,0,3,2,2,4
Dal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,3,3,3,4,0,4,4,4,4
Hou Win,0,1,1,0,1,1,1,2,0,1,0,2,0,1,2,3,0,2,3,3,0,1,2,2,3,1,0,3,2,3
Hou Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,4,3,3,4,4,3,4,0,4,4,4
Mem Win,0,1,0,1,1,0,0,3,1,2,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,2,1,0,2,3
Mem Played,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,4,4,3,4,3,3,4,4,3,3,4,4,0,4,4
Nol Win,0,2,2,2,2,0,1,2,1,1,1,2,1,0,2,1,2,1,3,2,2,3,1,1,5,2,2,2,0,3
Nol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,4,3,4,4,3,5,4,4,4,0,4
San Win,0,1,1,0,1,0,0,2,1,0,0,1,0,0,1,1,1,1,2,1,1,0,1,3,0,0,1,1,1,0
San Played,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,3,3,4,3,4,4,4,4,0
