Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Bos Win,0,3,1,3,4,2,1,4,2,2,3,4,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2
Bos Played,0,4,4,4,4,4,4,4,3,3,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bro Win,1,0,2,0,4,1,1,2,2,1,3,4,3,2,4,1,1,0,2,2,2,1,1,0,0,0,2,1,1,1
Bro Played,4,0,4,4,4,4,3,3,4,4,4,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nyk Win,3,2,0,2,1,2,3,4,3,0,2,2,3,2,3,2,1,1,1,2,1,0,1,1,1,0,2,0,1,1
Nyk Played,4,4,0,4,4,3,4,4,4,3,4,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Phi Win,1,4,2,0,3,2,2,3,4,2,3,2,1,3,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1
Phi Played,4,4,4,0,4,4,3,3,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tor Win,0,0,3,1,0,2,3,4,0,1,1,4,3,2,2,1,1,1,2,0,0,0,1,1,1,1,2,1,1,2
Tor Played,4,4,4,4,0,3,4,4,3,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chi Win,2,3,1,2,1,0,0,4,1,2,2,3,3,1,2,1,1,0,2,2,1,0,1,0,0,2,1,1,0,1
Chi Played,4,4,3,4,3,0,4,4,4,4,4,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cle Win,3,2,1,1,1,4,0,4,3,2,1,3,2,4,3,0,0,1,2,1,0,1,2,2,0,2,2,1,2,1
Cle Played,4,3,4,3,4,4,0,4,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Det Win,0,1,0,0,0,0,0,0,2,0,0,2,1,2,0,1,2,1,0,1,2,0,0,0,0,1,0,0,0,1
Det Played,4,3,4,3,4,4,4,0,4,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ind Win,1,2,1,0,3,3,1,2,0,1,1,2,2,3,2,0,0,1,1,0,2,1,1,0,1,1,2,0,1,0
Ind Played,3,4,4,4,3,4,4,4,0,4,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mil Win,1,3,3,2,3,2,2,4,3,0,2,2,2,3,3,1,2,2,2,2,1,2,1,2,2,2,1,0,2,1
Mil Played,3,4,3,4,4,4,4,4,4,0,4,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Atl Win,0,1,2,1,2,2,2,4,2,2,0,1,1,3,3,1,0,1,1,1,1,1,0,2,2,2,1,0,1,1
Atl Played,3,4,4,4,3,4,3,4,3,4,0,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cha Win,0,0,1,1,0,1,1,2,1,1,3,0,2,1,1,0,2,2,0,0,1,0,1,0,1,2,1,0,0,2
Cha Played,4,4,3,3,4,4,4,4,3,3,4,0,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mia Win,2,0,1,2,1,0,2,2,2,2,3,2,0,3,2,0,1,2,1,2,1,2,1,2,1,1,2,1,2,1
Mia Played,4,3,4,3,4,3,4,3,4,4,4,4,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Orl Win,3,1,1,1,2,2,0,2,1,0,1,3,1,0,2,1,1,1,1,0,2,2,0,1,0,1,1,0,2,1
Orl Played,4,3,3,4,4,3,4,4,4,3,4,4,4,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Was Win,1,0,1,2,1,2,0,3,2,1,1,3,2,2,0,0,2,0,1,1,0,0,0,2,1,2,1,1,1,2
Was Played,3,4,4,4,3,4,3,3,4,4,4,4,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Den Win,1,1,0,1,1,1,2,1,2,1,1,2,2,1,2,0,2,3,3,2,3,4,2,2,2,2,3,2,2,2
Den Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,4,4,4,3,4,4,4,3,4,4,3,4,3
Min Win,0,1,1,1,1,1,2,0,2,0,2,0,1,1,0,2,0,3,1,2,2,2,2,1,3,2,3,2,2,2
Min Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,0,4,4,4,4,3,3,4,4,3,4,4,3,4
Okc Win,1,2,1,1,1,2,1,1,1,0,1,0,0,1,2,1,1,0,4,3,1,3,1,1,0,2,2,2,1,3
Okc Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,0,4,4,4,4,3,4,3,3,4,4,4,3
Por Win,0,0,1,0,0,0,0,2,1,0,1,2,1,1,1,1,3,0,0,3,1,0,2,2,1,2,3,1,1,3
Por Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,0,4,4,3,4,3,4,4,3,3,4,4
Uta Win,1,0,0,0,2,0,1,1,2,0,1,2,0,2,1,2,2,1,1,0,1,3,2,1,1,1,2,2,3,2
Uta Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,0,3,4,4,3,4,4,3,4,3,4
Gol Win,1,0,1,1,2,1,2,0,0,1,1,1,1,0,2,0,2,3,3,2,0,2,1,1,3,2,4,2,2,3
Gol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,0,4,4,4,4,3,4,4,4,3
Lac Win,1,1,2,0,2,2,1,2,1,0,1,2,0,0,2,0,1,1,3,1,2,0,4,2,1,2,4,2,0,4
Lac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,4,0,4,4,4,4,4,3,3,4
Lal Win,0,1,1,0,1,1,0,2,1,1,2,1,1,2,2,2,1,2,2,2,3,0,0,2,1,1,2,2,3,4
Lal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,0,4,4,4,3,3,4,4
Pho Win,1,2,1,1,1,2,0,2,2,0,0,2,0,1,0,2,3,3,1,2,3,2,2,0,2,2,1,2,2,3
Pho Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,4,0,4,4,3,4,4,3
Sac Win,0,2,1,0,1,2,2,2,1,0,0,1,1,2,1,1,1,3,3,3,1,3,3,2,0,1,4,2,2,3
Sac Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,4,4,4,4,0,3,4,4,3,4
Dal Win,0,2,2,1,1,0,0,1,1,0,0,0,1,1,0,2,1,1,2,3,1,2,3,2,2,0,3,1,2,3
Dal Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,3,4,4,4,3,0,4,4,4,4
Hou Win,1,0,0,1,0,1,0,2,0,1,1,1,0,1,1,1,1,2,0,1,0,0,1,2,0,1,0,0,1,2
Hou Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3,3,4,4,3,3,4,4,0,4,4,4
Mem Win,0,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,3,4,0,2,4
Mem Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,3,3,4,4,4,4,0,4,4
Nol Win,0,1,1,1,1,2,0,2,1,0,1,2,0,0,1,2,1,3,3,0,2,3,1,2,1,2,3,2,0,4
Nol Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,4,3,4,3,4,4,3,4,4,4,0,4
San Win,0,1,1,1,0,1,1,1,2,1,1,0,1,1,0,1,2,0,1,2,0,0,0,0,1,1,2,0,0,0
San Played,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,4,4,3,4,4,3,4,4,4,4,4,0
