Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Bos Win,0,4,3,3,2,3,1,2,2,2,3,3,1,3,1,2,2,2,2,1,1,1,1,2,2,2,1,2,0,1
Bos Played,0,4,4,4,4,4,3,3,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bro Win,0,0,0,1,0,3,1,1,0,1,3,1,3,3,2,0,1,1,1,1,0,0,0,1,0,2,0,2,0,0
Bro Played,4,0,4,4,4,3,4,4,4,3,4,3,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nyk Win,1,4,0,0,1,1,2,0,1,0,1,2,2,1,1,1,0,1,0,2,0,1,1,2,1,1,0,1,1,0
Nyk Played,4,4,0,4,4,4,4,3,3,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Phi Win,1,3,4,0,1,2,2,4,1,2,3,4,2,3,2,2,2,0,1,2,0,2,1,1,0,2,1,1,1,2
Phi Played,4,4,4,0,4,3,4,4,3,4,3,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tor Win,2,4,3,3,0,4,1,4,3,2,4,4,1,3,2,1,1,0,2,1,0,0,2,2,2,1,2,2,2,1
Tor Played,4,4,4,4,0,4,3,4,4,3,4,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chi Win,1,0,3,1,0,0,0,1,1,2,3,3,1,4,1,0,1,0,0,1,0,0,0,0,0,2,0,2,0,0
Chi Played,4,3,4,3,4,0,4,4,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cle Win,2,3,2,2,2,4,0,3,1,3,3,3,2,2,3,1,1,1,1,1,0,1,1,2,1,2,0,2,1,0
Cle Played,3,4,4,4,3,4,0,4,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Det Win,1,3,3,0,0,3,1,0,3,2,3,1,2,1,1,0,2,1,1,0,1,1,1,2,2,1,1,1,0,1
Det Played,3,4,3,4,4,4,4,0,4,4,4,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ind Win,2,4,2,2,1,3,3,1,0,3,3,2,2,3,1,1,1,0,0,1,2,2,1,2,2,0,0,2,0,2
Ind Played,4,4,3,3,4,4,4,4,0,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mil Win,2,2,4,2,1,2,1,2,1,0,3,2,0,3,2,0,1,1,2,1,1,0,2,2,2,1,0,2,0,2
Mil Played,4,3,4,4,3,4,4,4,4,0,3,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Atl Win,1,1,2,0,0,0,1,1,1,0,0,0,1,2,2,1,1,0,1,2,0,0,0,1,1,2,0,1,1,1
