Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Bos Win,0,2,3,1,3,2,4,1,1,1,3,3,2,3,1,1,1,1,2,1,2,1,1,1,1,2,0,2,1,1
Bos Played,0,4,3,4,4,2,4,2,2,3,3,3,3,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Bro Win,2,0,2,1,1,3,1,2,1,1,3,3,1,1,1,1,0,0,1,0,1,1,1,1,2,0,1,0,2,1
Bro Played,4,0,4,4,4,3,1,3,3,2,4,4,3,4,3,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2
Nyk Win,0,2,0,0,0,2,3,2,1,0,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0
Nyk Played,3,4,0,4,2,3,4,3,3,3,3,3,2,2,4,2,0,1,2,2,1,1,2,2,2,2,2,1,1,2
Phi Win,3,3,4,0,1,2,3,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,0,2,0,0,1,1,2
Phi Played,4,4,4,0,4,2,4,3,4,3,3,1,4,3,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2
Tor Win,1,3,2,3,0,3,3,3,3,1,3,2,1,4,2,1,2,1,1,2,1,0,2,2,2,1,0,1,2,1
Tor Played,4,4,2,4,0,3,3,3,4,3,3,3,3,4,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2
Chi Win,0,0,1,0,0,0,3,4,0,0,3,1,0,0,3,0,1,0,0,0,0,1,0,0,1,1,0,2,0,1
Chi Played,2,3,3,2,3,0,4,4,4,4,3,4,2,1,4,0,2,2,2,1,2,1,1,1,2,2,1,2,2,1
Cle Win,0,0,1,1,0,1,0,2,1,0,2,1,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,2
Cle Played,4,1,4,4,3,4,0,4,3,3,2,2,4,3,3,2,2,2,1,1,1,2,1,0,0,2,1,2,2,2
Det Win,1,1,1,0,0,0,2,0,3,0,2,0,0,1,1,1,0,0,0,0,1,0,0,2,1,0,1,0,1,1
Det Played,2,3,3,3,3,4,4,0,4,3,3,4,1,2,4,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2
Ind Win,1,2,2,3,1,4,2,1,0,1,2,3,0,3,2,1,2,2,1,1,1,0,2,1,1,1,1,2,0,1
Ind Played,2,3,3,4,4,4,3,4,0,4,3,4,3,3,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1
Mil Win,2,1,3,2,2,4,3,3,3,0,3,3,1,4,3,0,2,2,2,1,1,2,1,1,2,0,1,1,2,1
Mil Played,3,2,3,3,3,4,3,3,4,0,3,3,3,4,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2
Atl Win,0,1,1,1,0,0,0,1,1,0,0,2,1,2,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,2
Atl Played,3,4,3,3,3,3,2,3,3,3,0,2,4,4,3,2,2,1,2,1,1,2,2,2,1,2,2,2,0,2
Cha Win,0,1,3,0,1,3,1,4,1,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,2,1,1,0,0,0
Cha Played,3,4,3,1,3,4,2,4,4,3,2,0,2,2,3,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2
Mia Win,1,2,1,3,2,2,3,1,3,2,3,1,0,3,3,1,0,1,1,1,2,0,0,1,1,2,1,1,1,1
Mia Played,3,3,2,4,3,2,4,1,3,3,4,2,0,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Orl Win,0,3,1,2,0,1,3,1,0,0,2,2,1,0,4,0,2,0,0,0,1,0,1,1,2,0,1,2,1,1
Orl Played,3,4,2,3,4,1,3,2,3,4,4,2,4,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
Was Win,2,2,3,1,0,1,1,3,0,0,2,2,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
Was Played,3,3,4,3,2,4,3,4,2,3,3,3,4,4,0,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2
Den Win,1,1,2,1,1,0,0,1,1,2,1,2,1,2,1,0,4,2,3,3,1,1,1,4,2,1,2,2,1,2
Den Played,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,0,4,3,4,3,2,3,4,4,3,3,4,3,3,2
Min Win,0,2,0,0,0,1,1,1,0,0,1,1,2,0,1,0,0,0,1,1,2,1,0,0,1,0,0,0,1,2
Min Played,1,2,0,1,2,2,2,1,2,2,2,2,2,2,2,4,0,3,2,3,3,3,1,2,3,3,4,3,3,2
Okc Win,1,1,1,1,1,2,2,2,0,0,1,1,1,2,1,1,3,0,2,2,3,1,1,2,2,1,2,1,4,2
Okc Played,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,3,3,0,4,3,3,4,4,3,3,2,3,3,4,4
Por Win,0,0,1,1,1,2,0,1,1,0,1,1,1,2,2,1,1,2,0,1,2,0,1,2,2,1,3,1,0,2
Por Played,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,4,2,4,0,3,3,3,3,4,4,3,4,2,4,3
Uta Win,1,2,2,1,0,1,1,2,1,1,1,2,1,2,2,0,2,1,2,0,4,2,0,1,2,2,1,3,3,1
Uta Played,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,3,3,3,0,4,3,3,2,3,3,3,4,4,4
Gol Win,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,2,0,0,1,1,2,0
Gol Played,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,3,3,3,4,0,3,3,4,3,3,3,3,4,2
Lac Win,1,0,1,1,2,0,2,1,1,0,1,1,2,2,2,2,2,3,3,1,3,0,2,2,1,3,2,2,3,3
Lac Played,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,3,3,4,3,3,3,0,4,4,3,3,4,3,4,4
Lal Win,1,1,2,1,0,1,1,1,0,1,2,1,2,1,1,3,1,3,2,3,3,2,0,3,2,3,1,3,4,3
Lal Played,2,2,2,2,2,1,1,1,2,2,2,1,2,2,1,4,1,4,3,3,3,4,0,3,3,4,3,4,4,3
Pho Win,1,1,2,2,0,1,0,0,1,1,1,2,1,1,1,0,2,1,2,1,2,2,0,0,2,2,1,1,1,1
Pho Played,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,4,2,3,4,2,4,4,3,0,4,3,3,4,2,3
Sac Win,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,1,2,1,2,1,3,2,1,2,0,1,1,3,2,1
Sac Played,2,2,2,2,2,2,0,2,1,2,1,2,2,2,2,3,3,3,4,3,3,3,3,4,0,4,3,4,3,3
Dal Win,0,1,0,2,1,1,2,1,1,2,1,1,0,2,1,2,3,1,2,0,3,0,1,1,3,0,1,2,4,3
Dal Played,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,3,2,3,3,4,3,4,0,3,3,4,4
Hou Win,2,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,4,1,1,2,2,2,2,2,2,2,0,2,3,1
Hou Played,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,4,4,3,4,3,3,4,3,3,3,3,0,3,4,3
Mem Win,0,2,1,0,0,0,1,2,0,0,2,2,1,0,2,1,3,2,1,1,2,1,1,3,1,1,1,0,0,2
Mem Played,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,3,3,3,2,4,3,3,4,4,4,3,3,0,3,4
Nol Win,1,0,1,0,0,2,2,1,2,0,0,1,1,0,1,2,2,0,4,1,2,1,0,1,1,0,1,3,0,0
Nol Played,2,2,1,1,2,2,2,2,2,2,0,1,2,2,1,3,3,4,4,4,4,4,4,2,3,4,4,3,0,2
San Win,1,1,2,0,1,0,0,1,0,1,0,2,1,1,1,0,0,2,1,3,2,1,0,2,2,1,2,2,2,0
San Played,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,4,3,4,2,4,3,3,3,4,3,4,2,0
